datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nanosec,byte_count_per_nanosec,label
4,10.0.0.4,0,10.0.0.1,0,1,0,0,2,0,24,2928,0,0,5.545454545454545e-06,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,2,0,24,2928,0,0,5.534971644612476e-06,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,2,0,24,2928,0,0,5.555977229601518e-06,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,2,0,24,2928,0,0,5.514124293785311e-06,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,12,0,124,15128,0,0,2.843609022556391e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,12,0,124,15128,0,0,2.8543396226415096e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,12,0,124,15128,0,0,2.8329588014981273e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,12,0,124,15128,0,0,2.859735349716446e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,22,0,200,24400,0,0,4.560747663551402e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,22,0,200,24400,0,0,4.586466165413534e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,22,0,200,24400,0,0,4.577861163227017e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,22,0,200,24400,0,0,4.577861163227017e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,32,0,200,24400,0,0,4.501845018450185e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,32,0,200,24400,0,0,4.493554327808471e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,32,0,200,24400,0,0,4.485294117647059e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,32,0,200,24400,0,0,4.518518518518519e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,32,0,200,24400,0,0,4.510166358595194e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,32,0,200,24400,0,0,4.477064220183486e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,42,0,200,24400,0,0,4.428312159709619e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,42,0,200,24400,0,0,4.436363636363636e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,42,0,200,24400,0,0,4.3884892086330935e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,42,0,200,24400,0,0,4.428312159709619e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,52,0,200,24400,0,0,4.3806104129263914e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,52,0,200,24400,0,0,4.3727598566308243e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,52,0,200,24400,0,0,4.3884892086330935e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,52,0,200,24400,0,0,4.364937388193202e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,52,0,200,24400,0,0,4.396396396396396e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,62,0,200,24400,0,0,4.295774647887324e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,62,0,200,24400,0,0,4.3033509700176366e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,62,0,200,24400,0,0,4.326241134751773e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,62,0,200,24400,0,0,4.31858407079646e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,62,0,200,24400,0,0,4.31095406360424e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,72,0,200,24400,0,0,4.280701754385965e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,72,0,200,24400,0,0,4.2732049036777585e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,82,0,200,24400,0,0,4.295774647887324e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,82,0,200,24400,0,0,4.265734265734266e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,82,0,200,24400,0,0,4.295774647887324e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,82,0,200,24400,0,0,4.2732049036777585e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,82,0,200,24400,0,0,4.31095406360424e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,92,0,200,24400,0,0,4.280701754385965e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,92,0,200,24400,0,0,4.250871080139373e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,92,0,200,24400,0,0,4.2732049036777585e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,92,0,200,24400,0,0,4.265734265734266e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,92,0,200,24400,0,0,4.258289703315881e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,102,0,200,24400,0,0,4.2732049036777585e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,102,0,200,24400,0,0,4.265734265734266e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,102,0,200,24400,0,0,4.236111111111111e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,102,0,200,24400,0,0,4.265734265734266e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,102,0,200,24400,0,0,4.250871080139373e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,112,0,200,24400,0,0,4.2214532871972316e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,112,0,200,24400,0,0,4.214162348877375e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,112,0,200,24400,0,0,4.206896551724138e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,112,0,200,24400,0,0,4.2287694974003466e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,122,0,200,24400,0,0,4.2214532871972316e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,122,0,200,24400,0,0,4.1924398625429554e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,122,0,200,24400,0,0,4.2214532871972316e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,122,0,200,24400,0,0,4.2287694974003466e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,122,0,200,24400,0,0,4.1852487135506004e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,132,0,200,24400,0,0,4.214162348877375e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,132,0,200,24400,0,0,4.206896551724138e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,132,0,200,24400,0,0,4.214162348877375e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,142,0,200,24400,0,0,4.107744107744108e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,142,0,200,24400,0,0,4.1146711635750425e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,152,0,200,24400,0,0,4.0734557595993324e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,152,0,200,24400,0,0,4.107744107744108e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,152,0,200,24400,0,0,4.066666666666667e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,152,0,200,24400,0,0,4.100840336134454e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,152,0,200,24400,0,0,4.080267558528428e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,152,0,200,24400,0,0,4.087102177554439e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,162,0,200,24400,0,0,4.066666666666667e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,162,0,200,24400,0,0,4.059900166389351e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,162,0,200,24400,0,0,4.080267558528428e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,162,0,200,24400,0,0,4.039735099337748e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,162,0,200,24400,0,0,4.0734557595993324e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,162,0,200,24400,0,0,4.0464344941956886e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,172,0,200,24400,0,0,4.059900166389351e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,172,0,200,24400,0,0,4.053156146179402e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,172,0,200,24400,0,0,4.0264026402640266e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,172,0,200,24400,0,0,4.0464344941956886e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,172,0,200,24400,0,0,4.039735099337748e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,172,0,200,24400,0,0,4.0330578512396694e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,182,0,200,24400,0,0,4.039735099337748e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,182,0,200,24400,0,0,4.013157894736842e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,182,0,200,24400,0,0,4.006568144499179e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,182,0,200,24400,0,0,4.0264026402640266e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,182,0,200,24400,0,0,4.019769357495881e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,192,0,200,24400,0,0,4.006568144499179e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,192,0,200,24400,0,0,4.019769357495881e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,202,0,200,24400,0,0,3.9869281045751634e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,202,0,200,24400,0,0,3.9934533551554827e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,202,0,200,24400,0,0,3.973941368078176e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,202,0,200,24400,0,0,3.9934533551554827e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,212,0,200,24400,0,0,3.948220064724919e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,212,0,200,24400,0,0,3.9610389610389614e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,212,0,200,24400,0,0,3.973941368078176e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,212,0,200,24400,0,0,3.967479674796748e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,212,0,200,24400,0,0,3.9546191247974065e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,222,0,200,24400,0,0,3.967479674796748e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,222,0,200,24400,0,0,3.92914653784219e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,222,0,200,24400,0,0,3.9610389610389614e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,232,0,200,24400,0,0,3.948220064724919e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,232,0,200,24400,0,0,3.935483870967742e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,232,0,200,24400,0,0,3.941841680129241e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,232,0,200,24400,0,0,3.941841680129241e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,232,0,200,24400,0,0,3.922829581993569e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,242,0,200,24400,0,0,3.891547049441786e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,242,0,200,24400,0,0,3.8977635782747605e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,242,0,200,24400,0,0,3.922829581993569e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,252,0,200,24400,0,0,3.8977635782747605e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,252,0,200,24400,0,0,3.9165329052969505e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,252,0,200,24400,0,0,3.9102564102564105e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,252,0,200,24400,0,0,3.8853503184713374e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,262,0,200,24400,0,0,3.873015873015873e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,262,0,200,24400,0,0,3.8853503184713374e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,262,0,200,24400,0,0,3.8853503184713374e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,262,0,200,24400,0,0,3.866877971473851e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,272,0,200,24400,0,0,3.830455259026688e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,272,0,200,24400,0,0,3.8607594936708864e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,272,0,200,24400,0,0,3.8607594936708864e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,272,0,200,24400,0,0,3.836477987421384e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,282,0,200,24400,0,0,3.84251968503937e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,282,0,200,24400,0,0,3.8125e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,282,0,200,24400,0,0,3.836477987421384e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,282,0,200,24400,0,0,3.830455259026688e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,282,0,200,24400,0,0,3.84251968503937e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,282,0,200,24400,0,0,3.824451410658307e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,292,0,200,24400,0,0,3.818466353677621e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,292,0,200,24400,0,0,3.830455259026688e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,292,0,200,24400,0,0,3.8125e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,292,0,200,24400,0,0,3.830455259026688e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,292,0,200,24400,0,0,3.836477987421384e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,292,0,200,24400,0,0,3.8006230529595015e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,302,0,200,24400,0,0,3.818466353677621e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,302,0,200,24400,0,0,3.824451410658307e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,302,0,200,24400,0,0,3.788819875776398e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,302,0,200,24400,0,0,3.818466353677621e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,302,0,200,24400,0,0,3.7947122861586316e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,312,0,200,24400,0,0,3.8006230529595015e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,312,0,200,24400,0,0,3.8065522620904834e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,312,0,200,24400,0,0,3.7770897832817335e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,322,0,200,24400,0,0,3.782945736434109e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,322,0,200,24400,0,0,3.7947122861586316e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,322,0,200,24400,0,0,3.7712519319938175e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,322,0,200,24400,0,0,3.8006230529595015e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,322,0,200,24400,0,0,3.7947122861586316e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,322,0,200,24400,0,0,3.7770897832817335e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,332,0,200,24400,0,0,3.788819875776398e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,332,0,200,24400,0,0,3.7712519319938175e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,332,0,200,24400,0,0,3.788819875776398e-05,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,332,0,200,24400,0,0,3.765432098765432e-05,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,332,0,200,24400,0,0,3.7947122861586316e-05,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,332,0,200,24400,0,0,3.7596302003081665e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,332,0,200,24400,0,0,3.7770897832817335e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,342,0,200,24400,0,0,3.765432098765432e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,342,0,200,24400,0,0,3.748079877112135e-05,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,342,0,200,24400,0,0,3.765432098765432e-05,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,342,0,200,24400,0,0,3.7596302003081665e-05,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,342,0,200,24400,0,0,3.765432098765432e-05,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,352,0,200,24400,0,0,3.742331288343558e-05,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,352,0,200,24400,0,0,3.7251908396946565e-05,1
