datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nanosec,byte_count_per_nanosec,label
4,10.0.0.4,0,10.0.0.1,0,1,0,0,2,0,4687,759294,0,0,0.00210915,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,2,0,4687,759294,0,0,0.0021033074792243768,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,2,0,4687,759294,0,0,0.002115025069637883,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,2,0,4687,759294,0,0,0.0021033074792243768,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,2,0,4681,758322,0,0,0.0022173157894736844,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,2,0,4687,759294,0,0,0.0020974972375690606,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,2,0,4687,759294,0,0,0.0024336346153846153,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,2,0,4687,759294,0,0,0.0020917190082644626,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,12,0,6013,974106,0,0,0.002807221902017291,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,12,0,6019,975078,0,0,0.0026568882833787467,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,12,0,6019,975078,0,0,0.0026787857142857143,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,12,0,6019,975078,0,0,0.0026641475409836064,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,12,0,6019,975078,0,0,0.003075955835962145,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,12,0,6019,975078,0,0,0.0026496684782608697,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,12,0,6019,975078,0,0,0.0026714465753424656,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,12,0,6019,975078,0,0,0.0026641475409836064,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,22,0,6013,974106,0,0,0.0027752307692307694,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,22,0,6019,975078,0,0,0.0026282425876010783,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,22,0,6019,975078,0,0,0.003037626168224299,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,22,0,6019,975078,0,0,0.0026211774193548388,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,22,0,6019,975078,0,0,0.002642487804878049,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,22,0,6019,975078,0,0,0.002635345945945946,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,22,0,6019,975078,0,0,0.0026496684782608697,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,22,0,6019,975078,0,0,0.002635345945945946,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,32,0,6019,975078,0,0,0.00300024,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,32,0,6019,975078,0,0,0.0025932925531914892,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,32,0,6013,974106,0,0,0.002743960563380282,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,32,0,6019,975078,0,0,0.002600208,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,32,0,6019,975078,0,0,0.0026211774193548388,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,32,0,6019,975078,0,0,0.0026071604278074868,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,32,0,6019,975078,0,0,0.0026141501340482573,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,32,0,6019,975078,0,0,0.0026071604278074868,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,42,0,6019,975078,0,0,0.0026071604278074868,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,42,0,6019,975078,0,0,0.0025932925531914892,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,42,0,6013,974106,0,0,0.0027285882352941176,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,42,0,6019,975078,0,0,0.0025864137931034484,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,42,0,6019,975078,0,0,0.002981889908256881,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,42,0,6019,975078,0,0,0.0025795714285714285,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,42,0,6019,975078,0,0,0.002600208,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,42,0,6019,975078,0,0,0.0025932925531914892,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,52,0,6019,975078,0,0,0.002972798780487805,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,52,0,6019,975078,0,0,0.0025727651715039576,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,52,0,6019,975078,0,0,0.002600208,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,52,0,6019,975078,0,0,0.0025864137931034484,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,52,0,6013,974106,0,0,0.0027209664804469275,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,52,0,6019,975078,0,0,0.0025795714285714285,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,52,0,6019,975078,0,0,0.0025932925531914892,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,52,0,6019,975078,0,0,0.0025864137931034484,1
2,10.0.0.4,0,10.0.0.1,0,1,0,0,62,0,6013,974106,0,0,0.0027133871866295263,1
2,10.0.0.1,0,10.0.0.4,0,1,0,8,62,0,6019,975078,0,0,0.0025727651715039576,1
1,10.0.0.4,0,10.0.0.1,0,1,0,0,62,0,6019,975078,0,0,0.0029637629179331305,1
1,10.0.0.1,0,10.0.0.4,0,1,0,8,62,0,6019,975078,0,0,0.0025659947368421054,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,62,0,6019,975078,0,0,0.0025864137931034484,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,62,0,6019,975078,0,0,0.0025795714285714285,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,62,0,6019,975078,0,0,0.0025932925531914892,1
3,10.0.0.1,0,10.0.0.4,0,1,0,8,62,0,6019,975078,0,0,0.0025795714285714285,1
4,10.0.0.4,0,10.0.0.1,0,1,0,0,72,0,6019,975078,0,0,0.002278219626168224,1
4,10.0.0.1,0,10.0.0.4,0,1,0,8,72,0,6019,975078,0,0,0.002272909090909091,1
3,10.0.0.4,0,10.0.0.1,0,1,0,0,72,0,6019,975078,0,0,0.0022835550351288057,1
3,0.168.174.86,0,10.0.0.3,0,1,0,8,5,0,1,162,0,0,1.3278688524590164e-06,1
3,0.202.202.195,0,10.0.0.3,0,1,0,8,5,0,0,0,0,0,0.0,1
3,0.54.80.87,0,10.0.0.3,0,1,0,8,5,0,0,0,0,0,0.0,1
3,1.22.167.100,0,10.0.0.3,0,1,0,8,5,0,0,0,0,0,0.0,1
3,10.195.84.156,0,10.0.0.3,0,1,0,8,5,0,0,0,0,0,0.0,1
3,10.49.166.7,0,10.0.0.3,0,1,0,8,6,0,0,0,0,0,0.0,1
3,100.164.41.220,0,10.0.0.3,0,1,0,8,5,0,0,0,0,0,0.0,1
3,100.169.136.137,0,10.0.0.3,0,1,0,8,5,0,0,0,0,0,0.0,1
3,100.193.54.77,0,10.0.0.3,0,1,0,8,5,0,0,0,0,0,0.0,1
3,100.194.145.209,0,10.0.0.3,0,1,0,8,6,0,0,0,0,0,0.0,1
3,103.190.214.120,0,10.0.0.3,0,1,0,8,5,0,0,0,0,0,0.0,1
